Name,RA,Dec,Date,shadow_distance
XE415,69.5222616,17.7569953,1955-12-10 07:15:00,8.192843295749809
XE415,69.5488614,18.3060227,1955-12-10 07:15:00,7.8339885513416325
XE415,69.6501289,18.8082165,1955-12-10 07:15:00,7.46540810995494
XE415,69.6968768,17.4237747,1955-12-10 07:15:00,8.284669556532156
XE415,69.7096776,17.9536548,1955-12-10 07:15:00,7.93015196714978
XE415,69.7223979,17.4189902,1955-12-10 07:15:00,8.269808551127547
XE415,69.7411697,17.3961265,1955-12-10 07:15:00,8.271926433539951
XE415,69.7932154,17.6839792,1955-12-10 07:15:00,8.043331884352812
XE415,69.8264443,18.7567907,1955-12-10 07:15:00,7.356846406792544
XE415,69.8584458,18.2634538,1955-12-10 07:15:00,7.626148552823571
