Name,RA,Dec,Date,shadow_distance
XE422,111.3230732,17.3852617,1953-01-09 06:40:12,4.853381427538246
XE422,111.402095,16.8648806,1953-01-09 06:40:12,5.378453959002136
XE422,111.4098145,18.1403697,1953-01-09 06:40:12,4.136358592020902
XE422,111.4254588,20.4994333,1953-01-09 06:40:12,1.956172172051363
XE422,111.524676,19.5732951,1953-01-09 06:40:12,2.816725822786874
XE422,111.554914,15.3894892,1953-01-09 06:40:12,6.855835469883696
XE422,111.5549319,20.3972154,1953-01-09 06:40:12,2.1083794692116173
XE422,111.5695463,20.4503398,1953-01-09 06:40:12,2.0724811527885287
XE422,111.5778306,20.3683571,1953-01-09 06:40:12,2.144310728931869
XE422,111.5934166,18.7914617,1953-01-09 06:40:12,3.566091454301133
XE422,111.6073538,16.1515691,1953-01-09 06:40:12,6.116598651178252
XE422,111.6641273,20.4593912,1953-01-09 06:40:12,2.117623216923091
XE422,111.8680039,14.9311654,1953-01-09 06:40:12,7.362569386970364
XE422,111.9242119,15.3655564,1953-01-09 06:40:12,6.949262918085088
XE422,111.9244139,20.5504214,1953-01-09 06:40:12,2.2068882356229023
XE422,111.9772677,15.5486112,1953-01-09 06:40:12,6.78251349646926
XE422,112.0362133,18.9247772,1953-01-09 06:40:12,3.610233772711053
XE422,112.0404167,20.4334993,1953-01-09 06:40:12,2.3664938199389245
XE422,112.0466321,20.2897097,1953-01-09 06:40:12,2.4764562737890348
XE422,112.117841,14.8571114,1953-01-09 06:40:12,7.486667081052789
XE422,112.2556932,16.3963661,1953-01-09 06:40:12,6.037149724413553
XE422,112.2843222,20.5448646,1953-01-09 06:40:12,2.4552211840620264
XE422,112.3090948,17.1047577,1953-01-09 06:40:12,5.384195467559811
XE422,112.310882,18.8377552,1953-01-09 06:40:12,3.8098750508304993
XE422,112.3660577,15.531307,1953-01-09 06:40:12,6.8954796144543815
XE422,112.4006299,18.9841902,1953-01-09 06:40:12,3.7273819327249558
XE422,112.440448,15.4467825,1953-01-09 06:40:12,6.996880402317935
XE422,112.4638503,18.9786301,1953-01-09 06:40:12,3.763940430989313
XE422,112.5726203,14.9753592,1953-01-09 06:40:12,7.485092835662267
XE422,112.5808604,20.4641315,1953-01-09 06:40:12,2.720753033447902
XE422,112.6203782,16.3279269,1953-01-09 06:40:12,6.21623273660666
XE422,112.631071,16.3937012,1953-01-09 06:40:12,6.158278242706067
