date,cloud_cover,cloud_valid
1949-06-21,0.21354166666666666,24
1949-06-22,0.3072916666666667,24
1949-06-23,0.20833333333333334,24
1949-06-24,0.8854166666666666,24
1949-06-25,0.7239583333333334,24
1949-06-26,1.0,24
1949-06-27,0.8854166666666666,24
1949-06-28,0.796875,24
1949-06-29,0.5885416666666666,24
1949-06-30,0.6041666666666666,24
1949-07-01,0.578125,24
1949-07-02,0.7604166666666666,24
1949-07-03,0.4375,24
1949-07-04,0.6145833333333334,24
1949-07-05,0.625,24
1949-07-06,0.6145833333333334,24
1949-07-07,0.515625,24
1949-07-08,0.7447916666666666,24
1949-07-09,0.4010416666666667,24
1949-07-10,0.46875,24
1949-07-11,0.953125,24
1949-07-12,0.671875,24
1949-07-13,0.3385416666666667,24
1949-07-14,0.3697916666666667,24
1949-07-15,0.375,24
1949-07-16,0.20833333333333334,24
1949-07-17,0.4427083333333333,24
1949-07-18,0.78125,24
1949-07-19,0.6458333333333334,24
1949-07-20,0.6197916666666666,24
1949-07-21,0.11979166666666667,24
1949-07-22,0.5,24
1949-07-23,0.5416666666666666,24
1949-07-24,0.59375,24
1949-07-25,0.5052083333333334,24
1949-07-26,0.71875,24
1949-07-27,0.6979166666666666,24
1949-07-28,0.765625,24
1949-07-29,0.8489583333333334,24
1949-07-30,0.765625,24
1949-07-31,0.2552083333333333,24
1949-08-01,0.421875,24
1949-08-02,0.21354166666666666,24
1949-08-03,0.4010416666666667,24
1949-08-04,0.609375,24
1949-08-05,0.7239583333333334,24
1949-08-06,0.8229166666666666,24
1949-08-07,0.2916666666666667,24
1949-08-08,0.6979166666666666,24
1949-08-09,0.828125,24
1949-08-10,0.5885416666666666,24
1949-08-11,0.5364583333333334,24
1949-08-12,0.23958333333333334,24
1949-08-13,0.3854166666666667,24
1949-08-14,0.6510416666666666,24
1949-08-15,0.6458333333333334,24
1949-08-16,0.4270833333333333,24
1949-08-17,0.3020833333333333,24
1949-08-18,0.3854166666666667,24
1949-08-19,0.5364583333333334,24
1949-08-20,0.5729166666666666,24
1949-08-21,0.25,24
1949-08-22,0.6197916666666666,24
1949-08-23,0.5833333333333334,24
1949-08-24,0.24479166666666666,24
1949-08-25,0.0,24
1949-08-26,0.11979166666666667,24
